feature,coefficient,abs_coef
cat__RoofMaterial_Roll,-0.015760533247922648,0.015760533247922648
cat__Proximity2_Artery,0.015728135773629286,0.015728135773629286
cat__ExteriorCovering1_MetalSd,-0.01543121150923624,0.01543121150923624
cat__ExteriorCovering1_ImStucc,0.015027304331095892,0.015027304331095892
cat__ExteriorCovering2_ImStucc,-0.01500299579576354,0.01500299579576354
cat__BusinessDistrict_SWISU,0.014649062086450039,0.014649062086450039
cat__BuildingStyle_SFoyer,-0.014503990160951925,0.014503990160951925
cat__Proximity2_Norm,0.013798818849131294,0.013798818849131294
num__BasementHalfRestrooms,0.012867825662906602,0.012867825662906602
num__MonthListed,-0.012684774173967768,0.012684774173967768
cat__ListingType_Con,0.012603264750246191,0.012603264750246191
cat__Perimeter_MnPrv,0.012412188019791949,0.012412188019791949
cat__ParkingQuality_Ex,0.012071028277246593,0.012071028277246593
num__RecreationArea,0.011561375595587285,0.011561375595587285
cat__ElectricalSystem_SBrkr,0.011313849471060075,0.011313849471060075
cat__ExteriorCovering2_BrkFace,0.010819643021527915,0.010819643021527915
num__TerraceArea,-0.010672709364967215,0.010672709364967215
cat__Proximity1_PosN,0.010430669871342385,0.010430669871342385
cat__ElectricalSystem_FuseP,0.009904823787328789,0.009904823787328789
cat__ParkingQuality_Po,0.009292837635636781,0.009292837635636781
cat__ExteriorCovering2_CmentBd,-0.009120732188679169,0.009120732188679169
num__BasementArea,-0.008874306501115887,0.008874306501115887
cat__BusinessDistrict_NPkVill,0.008719398602708749,0.008719398602708749
cat__RoofType_Mansard,0.008563267620967747,0.008563267620967747
cat__MiscellaneousFeature_Othr,0.0082445867999211,0.0082445867999211
cat__BasementQuality_Po,0.008128935484280866,0.008128935484280866
cat__ListingType_ConLD,-0.008097054620983729,0.008097054620983729
cat__Proximity2_RRNn,-0.007903516763979332,0.007903516763979332
num__MiscellaneousValue,-0.007795305453483449,0.007795305453483449
cat__MiscellaneousFeature_Shed,-0.007706087176670909,0.007706087176670909
cat__ExteriorCovering1_BrkFace,-0.007679966067414845,0.007679966067414845
cat__BusinessDistrict_MeadowV,0.007593820690272102,0.007593820690272102
num__FinishedBasementArea2,0.006976816306648494,0.006976816306648494
cat__Proximity1_Norm,-0.006878566751069121,0.006878566751069121
cat__Proximity2_RRAn,0.006876726604497593,0.006876726604497593
cat__ParkingType_Detchd,-0.006821461412539944,0.006821461412539944
cat__ListingCondition_Family,-0.006505537606963816,0.006505537606963816
cat__ExteriorCondition_TA,-0.0062016094680101795,0.0062016094680101795
cat__HeatingType_Floor,-0.006175106264228123,0.006175106264228123
num__YearListed,-0.006118324018171026,0.006118324018171026
num__Pantries,0.006112206673644199,0.006112206673644199
cat__ListingType_ConLw,0.005942129052938492,0.005942129052938492
cat__Proximity2_PosN,-0.0058178114028662724,0.0058178114028662724
cat__BuildingType_2fmCon,-0.005655285856150151,0.005655285856150151
cat__ExteriorCovering2_Brk Cmn,-0.00555691289840418,0.00555691289840418
cat__ExteriorCovering1_CBlock,-0.005539848537876657,0.005539848537876657
cat__HeatingType_OthW,-0.004747919660819988,0.004747919660819988
cat__ExteriorCondition_Po,-0.00466088562726121,0.00466088562726121
cat__ParkingCondition_Po,-0.0045382439956258395,0.0045382439956258395
cat__ExteriorCovering2_AsphShn,-0.004274544007192913,0.004274544007192913
cat__Proximity1_RRNe,0.004160069681252796,0.004160069681252796
cat__RoofType_Gable,0.004087653645425857,0.004087653645425857
cat__MiscellaneousFeature_TenC,-0.004030766900280042,0.004030766900280042
cat__ExteriorCovering1_VinylSd,0.0038760473601807477,0.0038760473601807477
num__ParkingArea,-0.0038600925929297616,0.0038600925929297616
num__ConferenceRooms,-0.003827078210379638,0.003827078210379638
cat__MiscellaneousFeature_Gar2,0.0036493776156220127,0.0036493776156220127
cat__ExteriorCovering2_Other,-0.0036402047272434063,0.0036402047272434063
cat__ExteriorCovering1_Stone,-0.003531784509922624,0.003531784509922624
cat__ListingType_ConLI,-0.0033778927056655524,0.0033778927056655524
cat__Proximity2_RRAe,-0.003136370464691036,0.003136370464691036
cat__Proximity1_RRNn,0.0030610419053244456,0.0030610419053244456
cat__FunctionalityRating_Mod,-0.0030043798172896888,0.0030043798172896888
cat__FunctionalityRating_Sev,-0.002788775825698366,0.002788775825698366
num__RenovationYear,-0.0023180692115643818,0.0023180692115643818
cat__ElectricalSystem_Mix,-0.0021634653878952054,0.0021634653878952054
cat__BuildingType_Duplex,0.00212902872081789,0.00212902872081789
num__GroundFloorArea,0.002090056488071265,0.002090056488071265
num__PlotSize,0.002054526066746248,0.002054526066746248
cat__StreetType_Pave,0.0018466534207720797,0.0018466534207720797
cat__StreetType_Grvl,-0.001689543081968561,0.001689543081968561
cat__RoofMaterial_Membran,-0.0015790065817595004,0.0015790065817595004
cat__ListingCondition_AdjLand,0.0011024553722684591,0.0011024553722684591
cat__ExteriorCovering2_Plywood,0.001096463142098053,0.001096463142098053
num__3SsnPorch,0.0007151021155731902,0.0007151021155731902
num__BasementRestrooms,-0.00019923518858707702,0.00019923518858707702
cat__BasementFinishType1_BLQ,-9.013618309446441e-05,9.013618309446441e-05
